Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Composite dishes,"Pasta, cooked, with vegetables",,14,17,14,14,,17
Composite dishes,"Pasta, cooked, with vegetables and cheese/cream",20,20,20,20,20,20,20
Composite dishes,"Pasta, filled with meat mix, cooked",61,61,61,61,61,61,61
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Baking",20,20,20,20,20,20,20
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",16.4,20,20,20,66,12,66
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Steaming",20,20,20,20,66,20,66
Composite dishes,"Pasta, filled with vegetable mix, cooked",59,59,59,59,59,59,59
Composite dishes,"Pasta, filled with vegetable mix, cooked, PROCESS Cooking in water",68.1,115,115,115,66,,115
Composite dishes,"Pasta, filled with vegetable mix, cooked, PROCESS Steaming",115,115,115,115,66,115,115
Composite dishes,Pastas and rice (or other cereal) -based dishes,15,15,15,15,15,15,15
Composite dishes,"Pastas and rice (or other cereal) -based dishes, PROCESS Baking",100,100,100,,100,100,100
Composite dishes,"Pastas and rice (or other cereal) -based dishes, PROCESS Cooking in water",8,8,8,,8,8,8
Composite dishes,"Pastas and rice (or other cereal) -based dishes, PROCESS Steaming",29,29,29,,29,29,29
Composite dishes,Pizza and similar with cheese topping,,232,369,,148,,230
Composite dishes,"Pizza and similar with cheese, and mushrooms",,80,80,80,148,,148
Composite dishes,"Pizza and similar with cheese, and vegetables",,63,63,63,148,,196
Composite dishes,"Pizza and similar with cheese, meat, and mushrooms",,,60,,90,,90
Composite dishes,"Pizza and similar with cheese, meat, and vegetables",,148,196,148,90,160,221
Composite dishes,"Pizza and similar with meat, and vegetables",160,60,60,60,90,160,90
Composite dishes,Poached eggs,48,68.2,48,68.2,57,48,57
Composite dishes,Pork meat loaf,36,36,36,36,36,36,36
Composite dishes,Potato casserole,37.6,71,71,71,23,37.6,23
Composite dishes,Potato croquettes,10.2,28.9,29,28.9,44,21,44
Composite dishes,Potato soup,48.9,18.6,9,18.6,30,48.9,30
Composite dishes,Potatoes and cheese meal,153,45.3,176,45.3,92,,92
Composite dishes,Potatoes and meat meal,16.3,34.9,24,34.9,15,12,15
Composite dishes,Potatoes and vegetables meal,9.6,31,31,31,105,9.6,105
Composite dishes,"Potatoes, meat, and vegetables meal",27.3,21,21,21,11,10,11
Composite dishes,Prepared fish salad,,20.7,9,20.7,78,,78
Composite dishes,Prepared legume (beans) salad,,28.1,48,28.1,36,,36
Composite dishes,Prepared meat salad,20.3,28.1,19,28.1,13,,13
Composite dishes,Prepared mixed egg/meat/fish/vegetable salad,,35,35,35,35,,35
Composite dishes,Prepared nut salad,31.4,22,22,22,38,31.4,38
Composite dishes,Prepared pasta salad,12.3,18.1,23,18.1,18.1,,23
Composite dishes,Prepared potato salad,8.3,19,14,19,10,8.3,9
Composite dishes,Prepared rice salad,11.9,79,19,79,79,11.9,19
Composite dishes,Quiche,75,73,75,73,164,75,231
Composite dishes,Ratatouille,17,19.4,23,19.4,17,,17
Composite dishes,Rice and meat meal,,8,8,8,16,,39
Composite dishes,Rice and vegetables meal,,13,13,13,16,,32
Composite dishes,"Rice based dishes cooked, PROCESS Baking",20,20,20,,20,20,20
Composite dishes,"Rice based dishes cooked, PROCESS Cooking in water",,79,79,79,79,,79
Composite dishes,"Rice based dishes cooked, PROCESS Steaming",,16.7,16.7,16.7,16.7,,16.7
Composite dishes,Rice pudding,90.1,80.1,73,80.1,88,,88
Composite dishes,"Rice, meat, and vegetables meal",,16.7,7,16.7,16,,16
Composite dishes,Risotto,9.5,4,4,4,25,9.5,25
Composite dishes,Roesti,12.5,12.3,10,12.3,15,,15
Composite dishes,Sandwich and sandwich-like dishes,40,51.8,40,51.8,51.8,40,40
Composite dishes,Sandwich with cheese and vegetable topping/filling,105,535,535,535,535,105,535
Composite dishes,Sandwich with cheese topping/filling,348.4,144,262,144,321,183,321
Composite dishes,Sandwich with fish and vegetable topping/filling,57.4,45.9,205,45.9,45.9,57.4,205
Composite dishes,Sandwich with fish topping/filling,,45.9,205,45.9,100,,100
Composite dishes,Sandwich with meat and vegetable topping/filling,39.1,26.7,19,26.7,95,39.1,95
Composite dishes,Sandwich with processed meat topping/filling,16.6,236,34,236,98,16.6,98
Composite dishes,Sausage roll,11,11,11,11,11,11,11
Composite dishes,Seafood salad,41.2,36,36,36,78,,52
Composite dishes,Seafood-based meals,,56.6,16,56.6,35,29.1,35
Composite dishes,Spring rolls,13,30.7,24,30.7,34,,32
Composite dishes,Tomato soup,17.2,17.5,11,6,5,8,17
Composite dishes,Vegetable casserole,82,49,49,49,23,82,23
Composite dishes,Vegetable soufflÇ,,84,84,84,84,84,84
Composite dishes,"Vegetables, gratinated",130.4,83.1,84,83.1,105,,105
Eggs and egg products,Boiled eggs,57,69.9,48,69.9,64,52.1,57
Eggs and egg products,Duck eggs,64,63,63,57,64,64,63
Eggs and egg products,"Duck eggs, PROCESS Cooking in water",60,60,60,60,60,60,60
Eggs and egg products,Eggs from other eggs producer birds,67.7,99,99,50,99,99,99
Eggs and egg products,"Eggs from other eggs producer birds, PROCESS Cooking in water",57,57,57,57,57,57,57
Eggs and egg products,Geese eggs,60,60,60,52,60,60,60
Eggs and egg products,"Geese eggs, PROCESS Cooking in water",57,57,57,57,57,57,57
Eggs and egg products,Hen egg mixed whole,57,72.4,51,48,57,55.1,57
Eggs and egg products,"Hen egg mixed whole, dried",231,190,190,201,225,231,225
Eggs and egg products,Hen egg white,5,6.67,11,7,12,11,5
Eggs and egg products,"Hen egg white, dried",62,84,84,84,62,62,41
Eggs and egg products,Hen egg yolk,140,121,140,116,150,140.8,130
Eggs and egg products,"Hen egg yolk, dried",284,282,282,282,284,284,282
Eggs and egg products,Hen eggs,57,72.4,51,48,57,57,57
Eggs and egg products,"Hen eggs, PROCESS Cooking in water",57,69.9,48,69.9,64,57,57
Eggs and egg products,"Hen eggs, PROCESS Frying",60.5,57,65,57,59,60.5,65
Eggs and egg products,Quail eggs,57,51,51,51,64,57,64
Eggs and egg products,"Quail eggs, PROCESS Cooking in water",48,48,48,48,48,48,48
"Fish, seafood, amphibians, reptiles and invertebrates",Amphibians and Reptiles,18,18,18,18,18,18,18
"Fish, seafood, amphibians, reptiles and invertebrates",Anchovies,90,56,82,148,145,90,82
"Fish, seafood, amphibians, reptiles and invertebrates","Anchovies, PROCESS Baking",98,98,98,98,98,98,98
"Fish, seafood, amphibians, reptiles and invertebrates","Anchovies, PROCESS Cooking in water",99,103,103,103,103,99,103
"Fish, seafood, amphibians, reptiles and invertebrates","Anchovies, PROCESS Frying",98,98,98,98,98,98,98
"Fish, seafood, amphibians, reptiles and invertebrates","Anchovies, PROCESS Steaming",103,103,103,103,103,103,103
"Fish, seafood, amphibians, reptiles and invertebrates",Anglerfish and monkfish,29,20,20,28,8,20,8
"Fish, seafood, amphibians, reptiles and invertebrates","Anglerfish and monkfish, PROCESS Baking",25,25,25,25,12,25,12
"Fish, seafood, amphibians, reptiles and invertebrates","Anglerfish and monkfish, PROCESS Cooking in water",25,25,25,25,25,25,25
"Fish, seafood, amphibians, reptiles and invertebrates","Anglerfish and monkfish, PROCESS Frying",25,25,25,25,25,25,25
"Fish, seafood, amphibians, reptiles and invertebrates","Anglerfish and monkfish, PROCESS Steaming",25,25,25,25,25,25,25
"Fish, seafood, amphibians, reptiles and invertebrates",Atlantic salmon,,,,27,12,,21
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROCESS Baking",,,,,9,,25
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROCESS Cooking in water",,,,,12,,23
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROCESS Curing",,,,,,26,
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROCESS Frying",19.2,,,,,19.2,
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROCESS Preserving with salt",16,19,19,,16,16,19
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROCESS Steaming",,9.23,,9.23,12,,23
"Fish, seafood, amphibians, reptiles and invertebrates","Atlantic salmon, PROD Farmed / cultivated / aquaculture",,8.68,,,,,
