Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
"Coffee, cocoa, tea and infusions","Coffee drink, café macchiato",0.164,0.164,0.164,0.164,0.164,0.164,0.164
"Coffee, cocoa, tea and infusions","Coffee drink, cappuccino",0.095,0.095,0.095,0.095,0.07,0.095,0.07
"Coffee, cocoa, tea and infusions",Coffee espresso (beverage),0.18,0.098,0.177,0.18,0.01,0.18,0.01
"Coffee, cocoa, tea and infusions","Coffee ground, roasted",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Coffee, cocoa, tea and infusions","Coffee ground, roasted and decaffeinated",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Coffee, cocoa, tea and infusions",Coffee with milk or cream,0.015,0.12,0.015,0.12,0.01,0.015,0.03
"Coffee, cocoa, tea and infusions",Fermented tea infusion,0.01,0.011,0.01,0.02,,0.01,0.04
"Coffee, cocoa, tea and infusions",Flowers used for herbal infusions,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"Coffee, cocoa, tea and infusions",Fruit infusion,0.01,0.004,0.004,0.004,0.004,0.01,0.004
"Coffee, cocoa, tea and infusions",Herbal infusion materials from leaves and herbs,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"Coffee, cocoa, tea and infusions",Hot chocolate,0.14,0.18,0.149,0.18,0.15,0.14,0.21
"Coffee, cocoa, tea and infusions",Hot chocolate with added ingredients,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"Coffee, cocoa, tea and infusions","Hot chocolate with added ingredients, QUAL Sugar free",0.101,0.101,0.101,0.101,0.101,0.101,0.101
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Low / Reduced sugar",0.149,0.149,0.149,0.149,0.32,0.149,0.32
"Coffee, cocoa, tea and infusions","Hot chocolate, QUAL Sugar free",0.101,0.101,0.101,0.101,0.2,0.101,0.2
"Coffee, cocoa, tea and infusions",Instant coffee (beverage),0.001,0.0005,0.001,,0.01,0.001,0.01
"Coffee, cocoa, tea and infusions",Instant coffee powder,0.07,0.15,0.11,0.21,0.11,0.11,0.21
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated",1.36,1.36,1.36,1.36,1.36,1.36,1.36
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Low / Reduced sugar",1.36,1.36,1.36,1.36,1.36,1.36,1.36
"Coffee, cocoa, tea and infusions","Instant coffee powder, decaffeinated, QUAL Sugar free",1.36,1.36,1.36,1.36,1.36,1.36,1.36
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Low / Reduced sugar",,0.11,0.11,0.11,,,0.11
"Coffee, cocoa, tea and infusions","Instant coffee powder, QUAL Sugar free",,0.11,0.11,0.11,,,0.11
"Coffee, cocoa, tea and infusions",Jasmine infusion,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Coffee, cocoa, tea and infusions",Mixed coffee imitates,0.01,0.11,0.01,0.11,0.11,0.01,0.01
"Coffee, cocoa, tea and infusions",Non-fermented tea leaves (green or white tea),0.95,0.95,0.95,0.95,0.95,0.95,0.95
"Coffee, cocoa, tea and infusions","Non-fermented tea, infusion",0.01,0.011,0.01,0.011,0.02,,0.02
"Coffee, cocoa, tea and infusions",Rooibos infusion,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Coffee, cocoa, tea and infusions",Tea infusion with added flavouring ingredients,0.01,,,,0.01,,
"Coffee, cocoa, tea and infusions",Tea leaves and stalks decaffeinated,0.95,0.95,0.95,1.2,0.95,0.95,0.95
"Coffee, cocoa, tea and infusions",Tea leaves and stalks with fruit and flavours,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"Coffee, cocoa, tea and infusions","Tea leaves and stalks, fermented",0.95,0.95,0.95,0.95,0.95,0.95,0.95
"Coffee, cocoa, tea and infusions",Tea powder ingredients and extracts,0.693,0.693,0.693,0.693,0.693,0.693,0.693
"Coffee, cocoa, tea and infusions","Tea, decaffeinated, infusion",0.01,0.01,0.01,0.02,0.01,0.01,0.01
Composite dishes,Beans and meat meal,0.05,0.057,0.08,0.057,0.06,0.05,0.06
Composite dishes,Beans and vegetables meal,,0.043,0.043,0.043,0.06,0.04,0.06
Composite dishes,Beef loaf,0.19,0.278,0.278,0.278,0.278,0.19,0.278
Composite dishes,Bouillabaisse,,0.182,0.182,0.182,0.182,,0.182
Composite dishes,Ceasar salad,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Composite dishes,Cereal products and grains based soup,0.06,0.061,0.061,0.061,0.061,0.01,0.061
Composite dishes,Cheese omelette,0.35,0.34,0.272,0.34,0.35,0.35,0.35
Composite dishes,Cheese savoury pie,0.23,0.13,0.13,0.13,0.13,0.23,0.11
Composite dishes,Creamed vegetable mix,0.08,0.072,0.068,0.072,0.11,0.08,0.11
Composite dishes,Dairy/egg soup,0.05,0.122,0.122,0.122,0.122,,0.122
Composite dishes,Dolma,0.05,0.058,0.058,0.058,0.058,0.05,0.058
Composite dishes,"Dolma, PROCESS Baking",0.07,0.058,0.058,0.058,0.058,0.07,0.058
Composite dishes,"Dolma, PROCESS Cooking in water",0.1,0.058,0.058,0.058,0.03,0.1,0.06
Composite dishes,"Dolma, PROCESS Steaming",0.1,0.058,0.058,0.058,0.03,0.1,0.06
Composite dishes,Doner kebab,,,0.137,,0.14,0.09,0.14
Composite dishes,Finger food,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Composite dishes,Fish and potatoes meal,0.13,0.032,0.032,0.032,0.07,0.13,0.07
Composite dishes,Fish and rice meal,0.12,0.04,0.114,0.04,0.21,0.12,0.21
Composite dishes,Fish and vegetables meal,0.13,0.047,0.047,0.047,0.047,,0.047
Composite dishes,Fish balls,0.07,0.103,0.103,0.103,0.103,,0.103
Composite dishes,"Fish balls, PROCESS Baking",0.103,0.103,0.103,0.103,0.103,0.103,0.103
Composite dishes,"Fish balls, PROCESS Cooking in water",0.14,0.103,0.103,0.103,0.03,0.14,0.03
Composite dishes,"Fish balls, PROCESS Frying",0.145,0.103,0.103,0.103,0.145,0.145,0.103
Composite dishes,"Fish balls, PROCESS Steaming",0.14,0.103,0.103,0.103,0.03,0.14,0.03
Composite dishes,"Fish fingers, breaded",,0.073,0.14,0.07,0.08,,0.08
Composite dishes,Fish gratin,0.1,0.114,0.114,0.114,0.114,,0.114
Composite dishes,Fish pâté,0.46,0.106,0.087,0.106,0.09,0.46,0.09
Composite dishes,Fish soup,0.08,0.07,0.073,0.07,0.07,0.08,0.073
Composite dishes,"Fish soup, INGRED Tap water",0.027,0.07,0.027,0.07,0.07,0.027,0.027
Composite dishes,Fishcakes,,0.128,0.106,0.128,0.09,,0.09
Composite dishes,Fried eggs,0.38,0.399,0.286,0.399,0.53,0.38,0.31
Composite dishes,Fruit soup,0.01,0.022,0.022,0.022,0.022,0.01,0.022
Composite dishes,Goulash,0.156,0.156,0.156,0.156,0.1,0.156,0.06
Composite dishes,Greek salad,0.07,0.127,0.127,0.127,0.04,0.07,0.04
Composite dishes,Hamburger with bread,0.11,0.3,0.123,0.3,0.12,0.12,0.12
Composite dishes,Hot dog with bread,,0.28,0.115,0.28,0.28,,0.115
Composite dishes,Hummus,,0.058,0.05,0.058,0.05,,0.05
Composite dishes,Lasagna,0.12,0.1,0.088,0.1,0.12,0.12,0.12
Composite dishes,Legume (beans) soup,0.05,0.045,0.048,0.045,0.06,0.01,0.02
Composite dishes,Legumes based dishes,0.07,0.075,0.02,0.075,0.07,0.07,0.07
Composite dishes,Meat and vegetable soup,0.09,0.034,0.033,0.034,0.04,0.09,0.03
Composite dishes,Meat balls,0.17,0.21,0.261,0.21,0.22,0.17,0.09
Composite dishes,Meat burger (no sandwich),0.16,0.261,0.261,0.261,0.12,0.16,0.2
Composite dishes,Meat in aspic,0.178,,0.178,,,0.178,0.178
Composite dishes,Meat loaf,0.21,0.154,0.154,0.154,0.14,,0.14
Composite dishes,"Meat loaf with cheese, vegetables or other",0.17,0.126,0.126,0.126,0.126,0.17,0.126
Composite dishes,Meat soup,0.04,0.025,0.103,0.03,0.04,0.04,0.03
Composite dishes,Meat stew,0.07,0.13,0.044,0.13,0.11,0.07,0.11
Composite dishes,Meat terrine,0.166,1.14,0.166,1.14,1.14,0.166,0.166
Composite dishes,Mixed green salad,0.04,0.03,0.034,0.25,0.05,0.034,0.01
Composite dishes,Mixed vegetable salad,0.04,0.037,0.083,0.25,0.05,0.04,0.05
Composite dishes,Mixed vegetables soup,0.01,0.02,0.09,0.02,,0.01,0.02
Composite dishes,"Mixed vegetables, boiled",0.08,0.049,0.057,0.049,0.06,0.12,0.09
Composite dishes,"Mixed vegetables, braised",0.08,0.077,0.08,0.077,0.077,0.08,0.08
Composite dishes,"Mixed vegetables, fried",0.08,0.14,0.077,0.14,0.13,0.08,0.13
Composite dishes,"Mixed vegetables, grilled",,0.085,0.084,0.085,0.085,,0.084
Composite dishes,Moussaka,0.1,0.11,0.113,0.11,0.11,,0.11
