Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Composite dishes,"Mixed vegetables, fried",0.0937,0.078,0.11,0.078,0.11,0.0937,0.11
Composite dishes,"Mixed vegetables, grilled",,0.093,0.121,0.093,0.093,,0.121
Composite dishes,Moussaka,0.0534,0.06,0.085,0.06,0.06,,0.06
Composite dishes,Mushroom based dishes,0.132,0.19,0.19,0.19,0.76,0.132,0.76
Composite dishes,Mushroom salad,0.1023,0.17,0.22,0.17,0.17,0.1023,0.22
Composite dishes,Mushroom soup,0.0945,0.055,0.054,0.055,0.02,0.0945,0.04
Composite dishes,Omelette with bacon,0.057,0.057,0.057,0.057,0.057,0.057,0.057
Composite dishes,Omelette with mushrooms,0.049,0.137,0.049,0.137,0.137,0.049,0.049
Composite dishes,Omelette with vegetables,0.0875,0.068,0.194,0.068,0.05,,0.05
Composite dishes,"Omelette, plain",0.0683,0.06,0.067,0.06,0.07,0.0683,0.07
Composite dishes,Onion soup,0.0855,0.043,0.007,0.043,0.02,0.0855,0.04
Composite dishes,Paella,0.0841,0.103,0.085,0.103,0.103,0.0841,0.085
Composite dishes,Pasta based dishes (cooked),0.0595,0.218,0.218,0.218,0.218,0.0595,0.218
Composite dishes,"Pasta based dishes (cooked), PROCESS Baking",,0.05,0.05,0.05,0.05,,0.05
Composite dishes,"Pasta based dishes (cooked), PROCESS Cooking in water",0.45,0.45,0.45,0.45,0.45,0.45,0.45
Composite dishes,"Pasta based dishes (cooked), PROCESS Steaming",0.45,0.45,0.45,0.45,0.45,0.45,0.45
Composite dishes,"Pasta-based dishes, uncooked",0.286,0.286,0.286,0.286,0.286,0.286,0.286
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Baking",0.03,0.03,0.03,0.03,0.03,0.03,0.03
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Cooking in water",0.03,0.03,0.03,0.03,0.14,0.03,0.03
Composite dishes,"Pasta-based dishes, uncooked, PROCESS Steaming",0.03,0.03,0.03,0.03,0.14,0.03,0.45
Composite dishes,"Pasta, cooked, with cheese/cream",,0.08,0.127,0.08,0.08,0.127,0.127
Composite dishes,"Pasta, cooked, with vegetables",,0.06,0.069,0.06,0.06,,0.069
Composite dishes,"Pasta, cooked, with vegetables and cheese/cream",0.118,0.118,0.118,0.118,0.118,0.118,0.118
Composite dishes,"Pasta, filled with meat mix, cooked",0.286,0.286,0.286,0.286,0.286,0.286,0.286
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Baking",0.03,0.03,0.03,0.03,0.03,0.03,0.03
Composite dishes,"Pasta, filled with meat mix, cooked, PROCESS Cooking in water",0.1019,0.03,0.03,0.03,0.14,0.1019,0.14
